2026-06-18 14:51:39.277 [main] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:51:39.417 [main] INFO  e.h.i.controller.ControllerMain - Controller instance lock acquired: ef8afa22-6ee7-4ba7-9595-f26939b661fc
2026-06-18 14:51:39.464 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 30ms
2026-06-18 14:51:40.592 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1122ms
2026-06-18 14:51:40.600 [main] INFO  e.h.i.controller.ControllerMain - Controller listening on controller.start
2026-06-18 14:51:40.601 [pool-1-thread-4] INFO  e.h.i.controller.ControllerMain - Controller received command: 1
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerAgent - Controller started (tickInterval=500ms, init cost=5ms)
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerMain - Controller received command: 0
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerAgent - Controller stopped at tick 1
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerMain - Controller received command: 0
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerAgent - Controller stopped at tick 1
2026-06-18 14:51:40.608 [pool-1-thread-4] INFO  e.h.i.controller.ControllerMain - Controller received command: 0
2026-06-18 14:51:40.609 [pool-1-thread-4] INFO  e.h.i.controller.ControllerAgent - Controller stopped at tick 1
2026-06-18 14:51:41.696 [controller-tick-loop] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1085ms
2026-06-18 14:51:41.700 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1 took 1092ms (exceeded interval)
2026-06-18 14:51:41.765 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 46ms
2026-06-18 14:51:42.902 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1132ms
2026-06-18 14:51:42.906 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain starting 8 workers
2026-06-18 14:51:42.907 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain: all 8 workers started in 1201ms
2026-06-18 14:51:43.268 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 63ms
2026-06-18 14:51:44.478 [navigator-6] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1565ms
2026-06-18 14:51:44.480 [navigator-6] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:51:44.491 [navigator-7] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1579ms
2026-06-18 14:51:44.495 [navigator-4] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1585ms
2026-06-18 14:51:44.498 [navigator-5] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1587ms
2026-06-18 14:51:44.498 [navigator-3] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1589ms
2026-06-18 14:51:44.498 [navigator-2] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1588ms
2026-06-18 14:51:44.513 [navigator-1] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1603ms
2026-06-18 14:51:44.515 [navigator-8] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1603ms
2026-06-18 14:53:04.285 [main] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:53:04.414 [main] INFO  e.h.i.controller.ControllerMain - Controller instance lock acquired: 695a36a9-1517-47b5-85bb-0a024636f23f
2026-06-18 14:53:04.464 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 33ms
2026-06-18 14:53:05.522 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1052ms
2026-06-18 14:53:05.525 [main] INFO  e.h.i.controller.ControllerMain - Controller listening on controller.start
2026-06-18 14:53:06.682 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 55ms
2026-06-18 14:53:07.961 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1272ms
2026-06-18 14:53:07.966 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain starting 8 workers
2026-06-18 14:53:07.968 [main] INFO  e.h.i.navigator.NavigatorMain - NavigatorMain: all 8 workers started in 1354ms
2026-06-18 14:53:08.429 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 59ms
2026-06-18 14:53:09.746 [navigator-7] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1762ms
2026-06-18 14:53:09.746 [navigator-2] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1763ms
2026-06-18 14:53:09.749 [navigator-7] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:53:09.760 [navigator-8] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1776ms
2026-06-18 14:53:09.760 [navigator-3] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1779ms
2026-06-18 14:53:09.809 [navigator-6] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1826ms
2026-06-18 14:53:09.815 [navigator-1] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1836ms
2026-06-18 14:53:09.821 [navigator-5] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1839ms
2026-06-18 14:53:09.828 [navigator-4] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1846ms
2026-06-18 14:53:09.911 [navigator-5] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 5 listening on navigator.no5 (startup=1943ms)
2026-06-18 14:53:09.911 [navigator-3] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 3 listening on navigator.no3 (startup=1943ms)
2026-06-18 14:53:09.911 [navigator-1] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 1 listening on navigator.no1 (startup=1943ms)
2026-06-18 14:53:09.911 [navigator-2] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 2 listening on navigator.no2 (startup=1943ms)
2026-06-18 14:53:09.953 [navigator-8] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 8 listening on navigator.no8 (startup=1984ms)
2026-06-18 14:53:09.953 [navigator-7] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 7 listening on navigator.no7 (startup=1984ms)
2026-06-18 14:53:09.954 [navigator-4] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 4 listening on navigator.no4 (startup=1985ms)
2026-06-18 14:53:09.954 [navigator-6] INFO  e.h.i.navigator.NavigationWorker - Navigator worker 6 listening on navigator.no6 (startup=1985ms)
2026-06-18 14:53:10.100 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1665ms
2026-06-18 14:53:10.105 [main] INFO  edu.homework.inspection.car.CarMain - CarMain starting CarManager
2026-06-18 14:53:10.105 [main] INFO  e.homework.inspection.car.CarManager - CarManager scanning for cars (max 400)
2026-06-18 14:53:10.107 [main] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:53:10.340 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ connected to localhost:5672// in 67ms
2026-06-18 14:53:11.457 [main] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 1110ms
2026-06-18 14:53:11.466 [main] INFO  e.h.inspection.recorder.RecorderMain - Recorder listening on save.start
2026-06-18 14:53:11.466 [pool-1-thread-4] INFO  e.h.inspection.recorder.RecorderMain - Recorder received command: 1
2026-06-18 14:53:11.467 [pool-1-thread-4] INFO  e.h.inspection.common.RedisProvider - Redis pool created: localhost:6379/9
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.i.recorder.RecorderService - Recorder started file 1
2026-06-18 14:53:11.574 [recorder-record] INFO  e.h.i.recorder.RecorderService - Record loop started for file 1
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.inspection.recorder.RecorderMain - Recorder received command: 0
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.i.recorder.RecorderService - Recorder stopped
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.inspection.recorder.RecorderMain - Recorder received command: 0
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.i.recorder.RecorderService - Recorder stopped
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.inspection.recorder.RecorderMain - Recorder received command: 0
2026-06-18 14:53:11.574 [pool-1-thread-4] INFO  e.h.i.recorder.RecorderService - Recorder stopped
2026-06-18 14:53:11.684 [recorder-record] INFO  e.h.i.recorder.RecorderService - Record loop ended: 1 frames saved
2026-06-18 14:54:11.656 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 1
2026-06-18 14:54:11.657 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 2
2026-06-18 14:54:11.657 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 3
2026-06-18 14:54:11.658 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 4
2026-06-18 14:54:11.658 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 5
2026-06-18 14:54:11.659 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 6
2026-06-18 14:54:11.659 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 7
2026-06-18 14:54:11.660 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 8
2026-06-18 14:54:11.660 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 9
2026-06-18 14:54:11.660 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 10
2026-06-18 14:54:11.661 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 11
2026-06-18 14:54:11.661 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 12
2026-06-18 14:54:11.662 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 13
2026-06-18 14:54:11.662 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 14
2026-06-18 14:54:11.662 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 15
2026-06-18 14:54:11.663 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 16
2026-06-18 14:54:11.663 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 17
2026-06-18 14:54:11.664 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 18
2026-06-18 14:54:11.664 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 19
2026-06-18 14:54:11.665 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 20
2026-06-18 14:54:11.665 [main] INFO  e.homework.inspection.car.CarManager - CarManager started car 21
