2026-06-18 11:08:22.515 [car-3] INFO  edu.homework.inspection.car.CarAgent - Car 3 listening on car.no3
2026-06-18 11:08:27.685 [pool-1-thread-17] INFO  e.h.i.controller.ControllerMain - Controller received command: 1
2026-06-18 11:08:27.685 [pool-1-thread-18] INFO  e.h.inspection.recorder.RecorderMain - Recorder received command: 1
2026-06-18 11:08:27.705 [pool-1-thread-18] INFO  e.h.i.recorder.RecorderService - Recorder started file 1
2026-06-18 11:08:27.705 [recorder-record] INFO  e.h.i.recorder.RecorderService - Record loop started for file 1
2026-06-18 11:08:27.835 [pool-1-thread-17] INFO  e.h.i.controller.ControllerAgent - Controller started (tickInterval=500ms, init cost=138ms)
2026-06-18 11:08:27.887 [controller-tick-loop] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (5 cars, 4 navigators) in 46ms
2026-06-18 11:08:28.080 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: car 1 at (5,1) dispatched to navigator 1
2026-06-18 11:08:28.080 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: car 2 at (1,14) dispatched to navigator 1
2026-06-18 11:08:28.082 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: car 3 at (10,2) dispatched to navigator 2
2026-06-18 11:08:28.085 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: car 4 at (19,12) dispatched to navigator 2
2026-06-18 11:08:28.085 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: car 5 at (4,2) dispatched to navigator 3
2026-06-18 11:08:28.087 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 1: 5 cars, explored=1.6%, idle=5, assigned=5, cost=247ms
2026-06-18 11:08:28.109 [pool-1-thread-20] INFO  e.h.i.navigator.NavigationService - Navigator processing car 3 at (10,2) map=20x20
2026-06-18 11:08:28.109 [pool-1-thread-19] INFO  e.h.i.navigator.NavigationService - Navigator processing car 1 at (5,1) map=20x20
2026-06-18 11:08:28.109 [pool-1-thread-21] INFO  e.h.i.navigator.NavigationService - Navigator processing car 5 at (4,2) map=20x20
2026-06-18 11:08:28.238 [pool-1-thread-19] INFO  e.h.i.navigator.NavigationService - Navigator car 1: target selected (4,1) at distance 1
2026-06-18 11:08:28.238 [pool-1-thread-20] INFO  e.h.i.navigator.NavigationService - Navigator car 3: target selected (9,2) at distance 1
2026-06-18 11:08:28.240 [pool-1-thread-21] INFO  e.h.i.navigator.NavigationService - Navigator car 5: target selected (5,2) at distance 1
2026-06-18 11:08:28.243 [pool-1-thread-19] INFO  e.h.i.navigator.NavigationService - Navigator car 1 PLANNED: 1 steps, algo=ASTAR, searchCost=1ms, total=133ms, (5,1) -> (4,1)
2026-06-18 11:08:28.243 [pool-1-thread-20] INFO  e.h.i.navigator.NavigationService - Navigator car 3 PLANNED: 1 steps, algo=ASTAR, searchCost=1ms, total=133ms, (10,2) -> (9,2)
2026-06-18 11:08:28.243 [pool-1-thread-21] INFO  e.h.i.navigator.NavigationService - Navigator car 5 PLANNED: 1 steps, algo=ASTAR, searchCost=0ms, total=133ms, (4,2) -> (5,2)
2026-06-18 11:08:28.245 [pool-1-thread-28] INFO  e.h.i.navigator.NavigationService - Navigator processing car 4 at (19,12) map=20x20
2026-06-18 11:08:28.245 [pool-1-thread-29] INFO  e.h.i.navigator.NavigationService - Navigator processing car 2 at (1,14) map=20x20
2026-06-18 11:08:28.340 [pool-1-thread-28] INFO  e.h.i.navigator.NavigationService - Navigator car 4: target selected (18,12) at distance 1
2026-06-18 11:08:28.341 [pool-1-thread-28] INFO  e.h.i.navigator.NavigationService - Navigator car 4 PLANNED: 1 steps, algo=ASTAR, searchCost=0ms, total=96ms, (19,12) -> (18,12)
2026-06-18 11:08:28.343 [pool-1-thread-29] INFO  e.h.i.navigator.NavigationService - Navigator car 2: target selected (2,14) at distance 1
2026-06-18 11:08:28.345 [pool-1-thread-29] INFO  e.h.i.navigator.NavigationService - Navigator car 2 PLANNED: 1 steps, algo=ASTAR, searchCost=0ms, total=99ms, (1,14) -> (2,14)
2026-06-18 11:08:28.382 [controller-tick-loop] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (5 cars, 4 navigators) in 38ms
2026-06-18 11:08:28.580 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 2: 5 cars, explored=1.6%, idle=0, assigned=0, cost=238ms
2026-06-18 11:08:28.592 [pool-1-thread-30] INFO  edu.homework.inspection.car.CarAgent - Car 2 ROUTE_DONE: arrived at target, path completed
2026-06-18 11:08:28.592 [pool-1-thread-30] INFO  edu.homework.inspection.car.CarAgent - Car 2 MOVE (1,14)->(2,14) | timing: total=10ms check=344us queuePop=171us getPos=435us validate=643us posUpdate=516us illuminate=3962us routeCheck=161us stateTrans=764us remainingSteps=0
2026-06-18 11:08:28.592 [pool-1-thread-34] INFO  edu.homework.inspection.car.CarAgent - Car 1 ROUTE_DONE: arrived at target, path completed
2026-06-18 11:08:28.592 [pool-1-thread-31] INFO  edu.homework.inspection.car.CarAgent - Car 4 ROUTE_DONE: arrived at target, path completed
2026-06-18 11:08:28.593 [pool-1-thread-32] INFO  edu.homework.inspection.car.CarAgent - Car 5 ROUTE_DONE: arrived at target, path completed
